Aux out [V]	Aux in [V]	PDH out [a.u.]
3.1198E-1	2.1497E-1	2.5000E+2
3.1198E-1	2.1521E-1	2.4100E+2
3.1210E-1	2.1521E-1	4.4800E+2
3.1210E-1	2.1594E-1	6.2000E+2
3.1210E-1	2.1449E-1	3.0900E+2
3.1222E-1	2.1546E-1	4.2900E+2
3.1222E-1	2.1667E-1	5.6100E+2
3.1234E-1	2.1594E-1	8.0000E+2
3.1234E-1	2.1473E-1	1.1950E+3
3.1234E-1	2.1424E-1	1.7600E+2
3.1245E-1	2.1473E-1	3.1800E+2
3.1245E-1	2.1424E-1	6.0100E+2
3.1257E-1	2.1400E-1	3.8600E+2
3.1257E-1	2.1279E-1	6.7300E+2
3.1257E-1	2.1279E-1	7.1700E+2
3.1269E-1	2.1376E-1	3.3100E+2
3.1269E-1	2.1449E-1	6.8800E+2
3.1281E-1	2.1376E-1	7.9700E+2
3.1281E-1	2.1473E-1	3.6000E+2
3.1292E-1	2.1279E-1	4.7000E+2
3.1292E-1	2.1351E-1	7.9100E+2
3.1292E-1	2.1206E-1	6.6100E+2
3.1304E-1	2.1181E-1	1.8000E+2
3.1304E-1	2.1327E-1	6.4300E+2
3.1316E-1	2.1424E-1	4.3900E+2
3.1316E-1	2.1254E-1	5.5700E+2
3.1316E-1	2.1181E-1	3.8400E+2
3.1328E-1	2.1303E-1	5.1500E+2
3.1328E-1	2.1181E-1	7.0100E+2
3.1339E-1	2.1133E-1	1.3140E+3
3.1339E-1	2.1279E-1	1.1760E+3
3.1339E-1	2.1206E-1	5.6000E+2
3.1351E-1	2.1254E-1	6.0100E+2
3.1351E-1	2.1084E-1	8.2000E+2
3.1363E-1	2.1084E-1	4.2000E+2
3.1363E-1	2.1060E-1	3.6800E+2
3.1363E-1	2.1206E-1	7.1200E+2
3.1375E-1	2.1036E-1	3.7700E+2
3.1375E-1	2.1036E-1	3.6600E+2
3.1386E-1	2.1157E-1	1.7700E+2
3.1386E-1	2.1011E-1	4.8500E+2
3.1386E-1	2.1011E-1	1.7500E+2
3.1398E-1	2.1157E-1	7.5000E+2
3.1398E-1	2.0841E-1	8.6600E+2
3.1410E-1	2.0914E-1	5.0800E+2
3.1410E-1	2.0938E-1	5.2000E+2
3.1410E-1	2.0914E-1	1.3210E+3
3.1422E-1	2.0768E-1	6.7000E+2
3.1422E-1	2.0963E-1	7.6000E+1
3.1434E-1	2.0890E-1	9.1100E+2
3.1434E-1	2.0695E-1	4.6500E+2
3.1434E-1	2.0914E-1	2.3000E+1
3.1445E-1	2.0817E-1	2.2800E+2
3.1445E-1	2.0817E-1	5.3300E+2
3.1457E-1	2.0890E-1	5.5500E+2
3.1457E-1	2.0841E-1	7.7100E+2
3.1457E-1	2.0695E-1	-1.8100E+2
3.1469E-1	2.0768E-1	9.0900E+2
3.1469E-1	2.0720E-1	8.1000E+1
3.1481E-1	2.0793E-1	1.0350E+3
3.1481E-1	2.0817E-1	6.3400E+2
3.1481E-1	2.0671E-1	9.8800E+2
3.1492E-1	2.0720E-1	5.8100E+2
3.1492E-1	2.0695E-1	6.0800E+2
3.1504E-1	2.0744E-1	8.2000E+1
3.1504E-1	2.0793E-1	1.3490E+3
3.1504E-1	2.0768E-1	-2.3900E+2
3.1516E-1	2.0647E-1	5.1600E+2
3.1516E-1	2.0598E-1	-3.0000E+2
3.1528E-1	2.0501E-1	6.3600E+2
3.1528E-1	2.0647E-1	4.6600E+2
3.1528E-1	2.0550E-1	2.1000E+2
3.1539E-1	2.0525E-1	6.0200E+2
3.1539E-1	2.0866E-1	1.1870E+3
3.1551E-1	2.0695E-1	8.6600E+2
3.1551E-1	2.0574E-1	2.8400E+2
3.1551E-1	2.0428E-1	5.2600E+2
3.1563E-1	2.0598E-1	1.0900E+2
3.1563E-1	2.0574E-1	1.4600E+2
3.1575E-1	2.0695E-1	3.8500E+2
3.1575E-1	2.0623E-1	7.6600E+2
3.1575E-1	2.0598E-1	4.9900E+2
3.1587E-1	2.0574E-1	2.9100E+2
3.1587E-1	2.0550E-1	1.7300E+2
3.1598E-1	2.0501E-1	2.6700E+2
3.1598E-1	2.0550E-1	3.8000E+1
3.1598E-1	2.0380E-1	8.9800E+2
