Aux out [V]	Aux in [V]	PDH out [a.u.]
2.4785E-2	5.9346E-1	-1.1300E+2
2.5020E-2	5.9346E-1	-4.3200E+2
2.5373E-2	5.9273E-1	-3.5800E+2
2.5726E-2	5.9395E-1	-1.7100E+2
2.6079E-2	5.9346E-1	-3.5800E+2
2.6432E-2	5.9322E-1	-4.6900E+2
2.6667E-2	5.9225E-1	4.8000E+1
2.7020E-2	5.9200E-1	-3.2200E+2
2.7373E-2	5.9249E-1	-5.6000E+2
2.7608E-2	5.9346E-1	1.3000E+1
2.8079E-2	5.9298E-1	-6.1000E+2
2.8314E-2	5.9249E-1	1.7000E+1
2.8667E-2	5.9395E-1	-4.2100E+2
2.9020E-2	5.9298E-1	-2.1000E+2
2.9255E-2	5.9249E-1	2.6500E+2
2.9608E-2	5.9322E-1	-8.2000E+2
2.9961E-2	5.9200E-1	-4.9000E+1
3.0314E-2	5.9152E-1	-2.7200E+2
3.0667E-2	5.9176E-1	-6.8800E+2
3.0903E-2	5.9249E-1	-4.1100E+2
3.1256E-2	5.9200E-1	-6.9500E+2
3.1609E-2	5.9273E-1	-4.1400E+2
3.1962E-2	5.9176E-1	-4.7000E+1
3.2314E-2	5.9298E-1	-4.0900E+2
3.2550E-2	5.9103E-1	-2.3700E+2
3.2903E-2	5.9249E-1	-3.0900E+2
3.3256E-2	5.9006E-1	-3.6000E+2
3.3609E-2	5.9127E-1	-5.6000E+1
3.3844E-2	5.9152E-1	2.6300E+2
3.4197E-2	5.9055E-1	-4.0000E+1
3.4550E-2	5.9103E-1	-5.6200E+2
3.4903E-2	5.9006E-1	-1.1100E+2
3.5256E-2	5.9200E-1	-4.3700E+2
3.5491E-2	5.9079E-1	1.3600E+2
3.5844E-2	5.9079E-1	1.2900E+2
3.6197E-2	5.9103E-1	-2.3900E+2
3.6550E-2	5.9152E-1	-1.5000E+1
3.6785E-2	5.9127E-1	-2.8200E+2
3.7138E-2	5.9103E-1	-1.5700E+2
3.7491E-2	5.8957E-1	-3.9400E+2
3.7844E-2	5.9006E-1	-1.1460E+3
3.8080E-2	5.8909E-1	-3.1400E+2
3.8433E-2	5.9030E-1	3.7200E+2
3.8786E-2	5.9006E-1	-7.1200E+2
3.9139E-2	5.8860E-1	-3.5200E+2
3.9491E-2	5.8909E-1	-5.8200E+2
3.9727E-2	5.8860E-1	-4.8600E+2
4.0080E-2	5.8836E-1	1.5900E+2
4.0433E-2	5.8812E-1	-4.4000E+2
4.0786E-2	5.8836E-1	-8.8600E+2
4.1139E-2	5.8909E-1	1.2500E+2
4.1374E-2	5.8836E-1	-2.1400E+2
4.1727E-2	5.8933E-1	-3.2300E+2
4.2080E-2	5.8739E-1	-4.5500E+2
4.2433E-2	5.8763E-1	9.5000E+1
4.2786E-2	5.8836E-1	-3.5600E+2
4.3021E-2	5.8690E-1	-4.4100E+2
