Aux out [V]	Aux in [V]	PDH out [a.u.]
5.0129E-1	6.2334E-1	-2.2500E+2
5.0153E-1	6.2456E-1	6.0000E+0
5.0188E-1	6.2286E-1	-7.5000E+2
5.0223E-1	6.2188E-1	-7.5000E+1
5.0258E-1	6.2261E-1	1.6000E+2
5.0306E-1	6.2310E-1	1.7000E+1
5.0341E-1	6.2383E-1	-8.2000E+1
5.0376E-1	6.2358E-1	-6.4200E+2
5.0411E-1	6.2213E-1	-1.9900E+2
5.0447E-1	6.2310E-1	-4.0600E+2
5.0482E-1	6.2358E-1	-1.1410E+3
5.0517E-1	6.2091E-1	5.2000E+1
5.0553E-1	6.2334E-1	-2.0000E+2
5.0588E-1	6.2213E-1	-8.6800E+2
5.0623E-1	6.2091E-1	-6.5400E+2
5.0659E-1	6.2140E-1	1.0300E+2
5.0694E-1	6.2261E-1	-6.9100E+2
5.0729E-1	6.2116E-1	-4.5900E+2
5.0764E-1	6.2310E-1	-8.1100E+2
5.0800E-1	6.2310E-1	-5.0800E+2
5.0835E-1	6.2043E-1	-5.8900E+2
5.0870E-1	6.2213E-1	-4.9400E+2
5.0906E-1	6.2261E-1	-4.7800E+2
5.0941E-1	6.2310E-1	-3.4700E+2
5.0976E-1	6.2213E-1	-4.5100E+2
5.1011E-1	6.2286E-1	-6.3200E+2
5.1047E-1	6.2310E-1	-4.0500E+2
5.1082E-1	6.2213E-1	-3.2000E+2
5.1117E-1	6.2116E-1	6.0000E+1
5.1153E-1	6.2261E-1	-4.0200E+2
5.1188E-1	6.2334E-1	-4.1600E+2
5.1223E-1	6.2286E-1	-1.8400E+2
5.1270E-1	6.2213E-1	1.1800E+2
5.1306E-1	6.2334E-1	6.6800E+2
5.1341E-1	6.2188E-1	-4.1600E+2
5.1376E-1	6.2116E-1	4.1500E+2
5.1412E-1	6.2213E-1	-1.6300E+2
5.1447E-1	6.2213E-1	-5.7600E+2
5.1482E-1	6.2140E-1	-3.5900E+2
5.1517E-1	6.2213E-1	-1.2160E+3
5.1553E-1	6.2188E-1	-3.6200E+2
5.1588E-1	6.2213E-1	-3.9900E+2
5.1623E-1	6.2213E-1	-6.6900E+2
5.1659E-1	6.2164E-1	-4.0300E+2
5.1694E-1	6.2164E-1	-3.9300E+2
5.1729E-1	6.2188E-1	2.4700E+2
5.1764E-1	6.2164E-1	-1.8400E+2
5.1800E-1	6.2407E-1	-2.0900E+2
5.1835E-1	6.2383E-1	-1.9000E+2
5.1870E-1	6.2116E-1	1.5800E+2
5.1906E-1	6.2164E-1	-2.6700E+2
5.1941E-1	6.2140E-1	-5.1600E+2
5.1976E-1	6.2286E-1	2.3900E+2
5.2012E-1	6.2286E-1	-5.1400E+2
5.2047E-1	6.2164E-1	-1.0500E+2
5.2082E-1	6.2164E-1	1.7600E+2
5.2117E-1	6.2188E-1	9.9000E+1
5.2153E-1	6.2286E-1	-1.8000E+1
5.2188E-1	6.2116E-1	-5.6000E+2
5.2223E-1	6.2116E-1	8.3000E+1
5.2270E-1	6.2261E-1	-5.1000E+1
5.2306E-1	6.2116E-1	-3.6100E+2
5.2341E-1	6.2091E-1	-6.3900E+2
5.2376E-1	6.2261E-1	-6.4600E+2
5.2400E-1	6.2334E-1	-6.3400E+2
5.2447E-1	6.2261E-1	-8.6400E+2
5.2482E-1	6.2043E-1	2.1000E+2
5.2517E-1	6.1994E-1	-7.9000E+2
5.2553E-1	6.2164E-1	8.0000E+1
5.2588E-1	6.2091E-1	-3.4000E+1
5.2623E-1	6.2091E-1	-2.1700E+2
5.2659E-1	6.2116E-1	2.9600E+2
5.2694E-1	6.2116E-1	3.8100E+2
5.2729E-1	6.2116E-1	-4.0100E+2
5.2765E-1	6.2043E-1	1.6500E+2
5.2800E-1	6.2067E-1	-1.9800E+2
5.2835E-1	6.2091E-1	-2.6300E+2
5.2870E-1	6.2091E-1	-3.0200E+2
5.2906E-1	6.2116E-1	0.0000E+0
5.2941E-1	6.2067E-1	-5.5300E+2
5.2976E-1	6.2164E-1	-3.1400E+2
5.3012E-1	6.2140E-1	-6.7000E+2
5.3047E-1	6.2091E-1	-2.9200E+2
5.3082E-1	6.1970E-1	-1.6200E+2
5.3118E-1	6.1970E-1	1.8000E+1
5.3153E-1	6.2067E-1	-4.3500E+2
5.3188E-1	6.2067E-1	-4.4900E+2
5.3235E-1	6.2067E-1	-4.4900E+2
5.3270E-1	6.2018E-1	3.0400E+2
5.3294E-1	6.2018E-1	-8.3700E+2
5.3329E-1	6.1994E-1	2.7300E+2
5.3365E-1	6.2067E-1	4.0000E+2
5.3400E-1	6.2018E-1	-3.0100E+2
5.3447E-1	6.2140E-1	-3.8300E+2
5.3482E-1	6.2091E-1	-2.8700E+2
5.3518E-1	6.1873E-1	4.7600E+2
5.3553E-1	6.2067E-1	-2.1200E+2
5.3588E-1	6.2116E-1	-1.7500E+2
5.3623E-1	6.2140E-1	1.0400E+2
5.3659E-1	6.2116E-1	-2.4100E+2
5.3694E-1	6.2043E-1	-3.6900E+2
5.3729E-1	6.2067E-1	2.8000E+1
5.3765E-1	6.2067E-1	-3.4600E+2
5.3800E-1	6.2116E-1	-6.9000E+1
5.3835E-1	6.1994E-1	2.2000E+2
5.3871E-1	6.1921E-1	-5.5100E+2
5.3906E-1	6.1970E-1	-3.5000E+2
5.3941E-1	6.1994E-1	-5.9500E+2
5.3976E-1	6.1946E-1	-3.8600E+2
5.4012E-1	6.1921E-1	-1.6800E+2
5.4047E-1	6.1873E-1	-6.4000E+1
5.4082E-1	6.1897E-1	-4.4500E+2
5.4118E-1	6.1873E-1	-1.9500E+2
5.4153E-1	6.1873E-1	5.1000E+1
5.4188E-1	6.1897E-1	-5.7900E+2
5.4223E-1	6.1946E-1	4.7500E+2
5.4259E-1	6.1921E-1	2.9500E+2
5.4294E-1	6.1946E-1	-3.9900E+2
5.4329E-1	6.1970E-1	-4.3200E+2
5.4365E-1	6.1775E-1	-9.3000E+1
5.4412E-1	6.1703E-1	-1.7800E+2
