Aux out [V]	Aux in [V]	PDH out [a.u.]
-5.1831E-1	3.7579E-1	1.1500E+2
-5.1643E-1	3.7895E-1	-1.0200E+2
-5.1431E-1	3.8478E-1	-3.0600E+2
-5.1243E-1	3.7992E-1	-2.0400E+2
-5.1055E-1	3.8089E-1	-1.0200E+2
-5.0867E-1	3.8260E-1	-6.2300E+2
-5.0678E-1	3.8308E-1	-5.2000E+2
-5.0467E-1	3.8381E-1	-3.1600E+2
-5.0278E-1	3.8721E-1	-1.7900E+2
-5.0090E-1	3.8818E-1	-4.8600E+2
-4.9902E-1	3.9231E-1	-1.4700E+2
-4.9714E-1	3.9523E-1	-1.0700E+2
-4.9502E-1	3.9669E-1	-6.4200E+2
-4.9314E-1	4.0179E-1	-6.3200E+2
-4.9125E-1	4.0397E-1	-2.7300E+2
-4.8937E-1	4.0835E-1	-1.9500E+2
-4.8749E-1	4.1321E-1	-4.7400E+2
-4.8561E-1	4.1831E-1	-6.7000E+1
-4.8349E-1	4.2244E-1	-6.6500E+2
-4.8161E-1	4.2730E-1	-7.5000E+1
-4.7972E-1	4.3264E-1	-3.1200E+2
-4.7784E-1	4.3726E-1	-2.0400E+2
-4.7596E-1	4.4066E-1	-3.8000E+2
-4.7384E-1	4.4576E-1	-5.0300E+2
-4.7196E-1	4.5232E-1	-7.7000E+2
-4.7008E-1	4.5742E-1	-5.9600E+2
-4.6819E-1	4.6131E-1	-8.7300E+2
-4.6631E-1	4.6786E-1	-8.3000E+2
-4.6443E-1	4.7272E-1	-9.1600E+2
-4.6231E-1	4.7783E-1	-6.6900E+2
-4.6043E-1	4.8536E-1	-4.6000E+2
-4.5855E-1	4.8803E-1	-6.2400E+2
-4.5666E-1	4.9532E-1	-8.8400E+2
-4.5478E-1	4.9993E-1	-2.4700E+2
-4.5266E-1	5.0552E-1	-6.2700E+2
-4.5078E-1	5.1014E-1	-8.8400E+2
-4.4890E-1	5.1451E-1	-7.6700E+2
-4.4702E-1	5.2010E-1	-7.4300E+2
-4.4513E-1	5.2325E-1	-1.6300E+2
-4.4325E-1	5.2836E-1	-7.2500E+2
-4.4113E-1	5.3419E-1	-8.8700E+2
