Aux out [V]	Aux in [V]	PDH out [a.u.]
2.0080E-1	3.2235E-1	2.7100E+2
2.0080E-1	3.2308E-1	8.2400E+2
2.0080E-1	3.2405E-1	6.4100E+2
2.0092E-1	3.2502E-1	8.7700E+2
2.0092E-1	3.2381E-1	1.6400E+2
2.0092E-1	3.2405E-1	6.3500E+2
2.0092E-1	3.2332E-1	7.3900E+2
2.0103E-1	3.2551E-1	2.6800E+2
2.0103E-1	3.2502E-1	5.8000E+2
2.0103E-1	3.2478E-1	1.1590E+3
2.0115E-1	3.2551E-1	6.4200E+2
2.0115E-1	3.2381E-1	7.4200E+2
2.0115E-1	3.2478E-1	1.2640E+3
2.0115E-1	3.2405E-1	4.4800E+2
2.0127E-1	3.2575E-1	5.4500E+2
2.0127E-1	3.2381E-1	5.7700E+2
2.0127E-1	3.2381E-1	3.2500E+2
2.0139E-1	3.2502E-1	2.0500E+2
2.0139E-1	3.2526E-1	1.1850E+3
2.0139E-1	3.2502E-1	8.4900E+2
2.0139E-1	3.2283E-1	5.8300E+2
2.0150E-1	3.2648E-1	7.8600E+2
2.0150E-1	3.2381E-1	4.3500E+2
2.0150E-1	3.2429E-1	6.2800E+2
2.0162E-1	3.2332E-1	1.0500E+2
2.0162E-1	3.2551E-1	1.0120E+3
2.0162E-1	3.2453E-1	1.1000E+1
2.0162E-1	3.2356E-1	8.1100E+2
2.0174E-1	3.2453E-1	4.8800E+2
2.0174E-1	3.2502E-1	5.0400E+2
2.0174E-1	3.2478E-1	5.8400E+2
2.0186E-1	3.2429E-1	9.6800E+2
2.0186E-1	3.2332E-1	6.5000E+2
2.0186E-1	3.2356E-1	-2.3000E+1
2.0186E-1	3.2283E-1	5.3400E+2
2.0197E-1	3.2453E-1	1.0810E+3
2.0197E-1	3.2235E-1	5.2700E+2
2.0197E-1	3.2405E-1	8.1500E+2
2.0209E-1	3.2332E-1	7.5400E+2
2.0209E-1	3.2356E-1	4.4900E+2
2.0209E-1	3.2259E-1	5.7200E+2
2.0209E-1	3.2405E-1	5.2700E+2
2.0221E-1	3.2186E-1	-1.2000E+1
2.0221E-1	3.2283E-1	6.3000E+1
2.0221E-1	3.2502E-1	2.5700E+2
2.0233E-1	3.2405E-1	2.1600E+2
2.0233E-1	3.2478E-1	1.0800E+2
2.0233E-1	3.2453E-1	1.0880E+3
2.0233E-1	3.2405E-1	2.2000E+1
2.0244E-1	3.2259E-1	1.2460E+3
2.0244E-1	3.2235E-1	7.7500E+2
2.0244E-1	3.2332E-1	5.2800E+2
2.0256E-1	3.2453E-1	8.0500E+2
2.0256E-1	3.2235E-1	3.1200E+2
2.0256E-1	3.2429E-1	1.0820E+3
2.0256E-1	3.2259E-1	-1.5100E+2
2.0268E-1	3.2429E-1	1.2200E+2
2.0268E-1	3.2356E-1	3.4000E+2
2.0268E-1	3.2308E-1	5.4300E+2
2.0280E-1	3.2356E-1	5.6500E+2
2.0280E-1	3.2381E-1	7.1200E+2
2.0280E-1	3.2453E-1	6.3200E+2
2.0280E-1	3.2478E-1	9.0800E+2
2.0292E-1	3.2429E-1	5.9900E+2
2.0292E-1	3.2429E-1	9.1400E+2
2.0292E-1	3.2453E-1	4.5300E+2
2.0303E-1	3.2283E-1	9.1900E+2
2.0303E-1	3.2381E-1	2.8000E+2
2.0303E-1	3.2356E-1	9.0000E+0
2.0303E-1	3.2381E-1	5.9400E+2
2.0315E-1	3.2526E-1	8.2300E+2
2.0315E-1	3.2356E-1	8.3200E+2
2.0315E-1	3.2502E-1	1.0660E+3
2.0327E-1	3.2502E-1	1.2600E+2
2.0327E-1	3.2405E-1	7.2700E+2
2.0327E-1	3.2381E-1	5.1500E+2
2.0327E-1	3.2381E-1	7.9500E+2
2.0339E-1	3.2259E-1	7.5300E+2
2.0339E-1	3.2308E-1	7.1000E+2
2.0339E-1	3.2429E-1	6.8200E+2
2.0350E-1	3.2235E-1	7.1600E+2
2.0350E-1	3.2429E-1	8.7600E+2
2.0350E-1	3.2453E-1	1.2950E+3
2.0350E-1	3.2405E-1	5.4700E+2
2.0362E-1	3.2235E-1	6.0700E+2
2.0362E-1	3.2478E-1	7.4700E+2
2.0362E-1	3.2356E-1	5.5100E+2
2.0374E-1	3.2405E-1	6.7400E+2
2.0374E-1	3.2478E-1	1.2280E+3
2.0374E-1	3.2356E-1	2.9400E+2
2.0374E-1	3.2502E-1	3.1300E+2
2.0386E-1	3.2356E-1	5.8600E+2
2.0386E-1	3.2405E-1	2.9000E+1
2.0386E-1	3.2429E-1	5.0600E+2
2.0397E-1	3.2138E-1	6.7300E+2
2.0397E-1	3.2551E-1	1.4600E+2
2.0397E-1	3.2332E-1	3.6300E+2
2.0397E-1	3.2453E-1	4.1400E+2
2.0409E-1	3.2332E-1	1.0610E+3
2.0409E-1	3.2356E-1	4.8500E+2
2.0409E-1	3.2381E-1	6.0000E+2
2.0421E-1	3.2526E-1	3.8000E+1
2.0421E-1	3.2405E-1	-1.8000E+1
2.0421E-1	3.2453E-1	2.1600E+2
2.0421E-1	3.2381E-1	5.8800E+2
2.0433E-1	3.2429E-1	7.8700E+2
2.0433E-1	3.2429E-1	4.2700E+2
2.0433E-1	3.2405E-1	2.5000E+2
