Aux out [V]	Aux in [V]	PDH out [a.u.]
6.5060E-1	5.1597E-1	-5.1200E+2
6.5060E-1	5.1645E-1	-5.7700E+2
6.5071E-1	5.1815E-1	-1.5600E+2
6.5083E-1	5.1742E-1	-2.6200E+2
6.5083E-1	5.1669E-1	0.0000E+0
6.5095E-1	5.1767E-1	-1.6500E+2
6.5095E-1	5.1839E-1	-9.4400E+2
6.5107E-1	5.1669E-1	-4.1700E+2
6.5107E-1	5.1597E-1	-3.2700E+2
6.5118E-1	5.1645E-1	2.4400E+2
6.5130E-1	5.1718E-1	-1.7000E+1
6.5130E-1	5.1742E-1	-1.4700E+2
6.5142E-1	5.1572E-1	-1.6100E+2
6.5142E-1	5.1718E-1	-4.4700E+2
6.5154E-1	5.1645E-1	-7.8800E+2
6.5154E-1	5.1694E-1	-3.0900E+2
6.5165E-1	5.1572E-1	-7.1000E+1
6.5177E-1	5.1718E-1	-3.8500E+2
6.5177E-1	5.1645E-1	-5.0000E+2
6.5189E-1	5.1694E-1	-2.9200E+2
6.5189E-1	5.1742E-1	-4.3800E+2
6.5201E-1	5.1815E-1	-6.5800E+2
6.5201E-1	5.1864E-1	-4.4700E+2
6.5213E-1	5.1767E-1	-4.6900E+2
6.5224E-1	5.1864E-1	-3.8500E+2
6.5224E-1	5.1839E-1	-5.6600E+2
6.5236E-1	5.1791E-1	-3.3600E+2
6.5236E-1	5.1791E-1	1.1800E+2
6.5248E-1	5.1742E-1	-4.9000E+1
6.5248E-1	5.1937E-1	-7.2000E+2
6.5260E-1	5.1839E-1	-7.3400E+2
6.5271E-1	5.1815E-1	-1.6100E+2
6.5271E-1	5.1815E-1	-2.0800E+2
6.5283E-1	5.1985E-1	-5.8000E+2
6.5283E-1	5.1669E-1	-6.3400E+2
6.5295E-1	5.1767E-1	-9.0000E+2
6.5295E-1	5.1864E-1	-3.6300E+2
6.5307E-1	5.1864E-1	-6.3100E+2
6.5318E-1	5.1937E-1	-6.6500E+2
6.5318E-1	5.1912E-1	-5.9000E+2
6.5330E-1	5.2107E-1	-6.1400E+2
6.5330E-1	5.2107E-1	-3.3200E+2
6.5342E-1	5.2010E-1	-2.1400E+2
6.5342E-1	5.2058E-1	-1.0600E+2
6.5354E-1	5.2010E-1	-2.0400E+2
6.5366E-1	5.1888E-1	-7.6500E+2
