Aux out [V]	Aux in [V]	PDH out [a.u.]
-3.6289E-1	5.2423E-1	1.8900E+2
-3.6254E-1	5.2277E-1	4.1400E+2
-3.6219E-1	5.2301E-1	6.5200E+2
-3.6195E-1	5.2228E-1	1.5800E+2
-3.6171E-1	5.2131E-1	-4.3500E+2
-3.6136E-1	5.1912E-1	-4.4700E+2
-3.6113E-1	5.1815E-1	2.3200E+2
-3.6077E-1	5.1791E-1	8.9000E+1
-3.6054E-1	5.1767E-1	7.2900E+2
-3.6019E-1	5.1742E-1	8.5000E+2
-3.5995E-1	5.1718E-1	7.0500E+2
-3.5971E-1	5.1572E-1	8.1500E+2
-3.5936E-1	5.1427E-1	5.5800E+2
-3.5913E-1	5.1451E-1	2.6500E+2
-3.5877E-1	5.1232E-1	5.5700E+2
-3.5854E-1	5.1427E-1	-1.4300E+2
-3.5819E-1	5.1111E-1	2.2800E+2
-3.5795E-1	5.0965E-1	3.8300E+2
-3.5760E-1	5.0843E-1	3.8000E+2
-3.5736E-1	5.1111E-1	1.4200E+2
-3.5713E-1	5.0771E-1	3.5900E+2
-3.5677E-1	5.0576E-1	7.0000E+1
-3.5654E-1	5.0649E-1	3.4700E+2
-3.5619E-1	5.0601E-1	-4.9500E+2
-3.5595E-1	5.0382E-1	2.0600E+2
-3.5560E-1	5.0285E-1	9.3000E+2
-3.5536E-1	5.0066E-1	5.8300E+2
-3.5513E-1	5.0115E-1	4.9400E+2
-3.5477E-1	4.9920E-1	8.1000E+1
-3.5454E-1	4.9799E-1	5.7800E+2
-3.5419E-1	4.9775E-1	6.9500E+2
-3.5395E-1	4.9532E-1	4.2200E+2
-3.5360E-1	4.9605E-1	6.5400E+2
-3.5336E-1	4.9580E-1	5.1300E+2
-3.5301E-1	4.9264E-1	6.7100E+2
-3.5277E-1	4.9313E-1	2.0400E+2
-3.5254E-1	4.9143E-1	7.7400E+2
-3.5218E-1	4.9167E-1	1.1050E+3
-3.5195E-1	4.8997E-1	-4.2200E+2
-3.5160E-1	4.8900E-1	6.6000E+2
-3.5136E-1	4.8633E-1	3.1300E+2
-3.5101E-1	4.8584E-1	3.5700E+2
-3.5077E-1	4.8560E-1	1.9300E+2
-3.5054E-1	4.8560E-1	5.2500E+2
-3.5018E-1	4.8268E-1	-3.1000E+1
-3.4983E-1	4.8317E-1	5.4700E+2
-3.4960E-1	4.7977E-1	4.5900E+2
-3.4936E-1	4.7928E-1	3.7600E+2
-3.4901E-1	4.7928E-1	-1.6700E+2
-3.4877E-1	4.7831E-1	4.6500E+2
-3.4854E-1	4.7588E-1	7.1700E+2
-3.4818E-1	4.7491E-1	6.0800E+2
-3.4783E-1	4.7345E-1	8.1100E+2
-3.4760E-1	4.7491E-1	6.4400E+2
-3.4736E-1	4.7248E-1	8.3700E+2
-3.4701E-1	4.7175E-1	3.8600E+2
-3.4677E-1	4.6957E-1	5.2300E+2
-3.4642E-1	4.6908E-1	4.7400E+2
-3.4618E-1	4.6762E-1	1.0930E+3
-3.4583E-1	4.6641E-1	5.8900E+2
-3.4560E-1	4.6398E-1	2.4900E+2
-3.4536E-1	4.6276E-1	1.8900E+2
-3.4501E-1	4.6203E-1	-1.7100E+2
-3.4477E-1	4.6106E-1	3.2300E+2
-3.4442E-1	4.5985E-1	1.0460E+3
-3.4418E-1	4.5839E-1	1.7400E+2
-3.4383E-1	4.5669E-1	8.0000E+2
-3.4360E-1	4.5669E-1	3.9600E+2
-3.4324E-1	4.5475E-1	3.7100E+2
-3.4301E-1	4.5280E-1	8.8500E+2
-3.4277E-1	4.5377E-1	3.1900E+2
-3.4242E-1	4.5110E-1	4.7700E+2
-3.4218E-1	4.5159E-1	7.0600E+2
-3.4183E-1	4.5013E-1	8.9000E+2
-3.4160E-1	4.4770E-1	3.0800E+2
-3.4124E-1	4.4673E-1	4.4100E+2
-3.4101E-1	4.4527E-1	3.7000E+2
-3.4077E-1	4.4479E-1	8.8500E+2
-3.4042E-1	4.4333E-1	8.7800E+2
-3.4018E-1	4.4017E-1	6.1200E+2
-3.3983E-1	4.3944E-1	6.7600E+2
-3.3960E-1	4.4041E-1	3.5600E+2
-3.3924E-1	4.3823E-1	8.0100E+2
-3.3901E-1	4.3653E-1	8.0000E+2
-3.3865E-1	4.3313E-1	8.1200E+2
-3.3842E-1	4.3337E-1	8.7100E+2
-3.3818E-1	4.2924E-1	1.7900E+2
-3.3783E-1	4.3070E-1	6.4900E+2
-3.3760E-1	4.2924E-1	8.9000E+2
-3.3724E-1	4.2730E-1	9.4400E+2
-3.3701E-1	4.2559E-1	6.0300E+2
-3.3665E-1	4.2438E-1	1.1460E+3
-3.3642E-1	4.2195E-1	6.3900E+2
-3.3618E-1	4.2365E-1	4.8100E+2
-3.3583E-1	4.2171E-1	1.0630E+3
-3.3548E-1	4.2098E-1	8.7700E+2
-3.3524E-1	4.1928E-1	7.6900E+2
-3.3501E-1	4.1685E-1	6.5000E+2
-3.3465E-1	4.1709E-1	6.6900E+2
-3.3442E-1	4.1466E-1	4.1000E+2
-3.3407E-1	4.1150E-1	8.9000E+2
-3.3383E-1	4.1175E-1	7.3500E+2
-3.3348E-1	4.1029E-1	5.0500E+2
-3.3324E-1	4.0810E-1	7.5000E+2
