Aux out [V]	Aux in [V]	PDH out [a.u.]
7.1612E-2	6.1411E-1	-1.7600E+2
7.1965E-2	6.1290E-1	-4.1400E+2
7.2317E-2	6.1265E-1	1.4600E+2
7.2670E-2	6.1435E-1	-4.4400E+2
7.3023E-2	6.1265E-1	-1.9700E+2
7.3376E-2	6.1435E-1	-6.6100E+2
7.3729E-2	6.1217E-1	-8.6200E+2
7.4082E-2	6.1362E-1	-4.9800E+2
7.4435E-2	6.1290E-1	2.1200E+2
7.4788E-2	6.1338E-1	-4.7700E+2
7.5259E-2	6.1362E-1	-3.3900E+2
7.5612E-2	6.1387E-1	-7.0900E+2
7.5965E-2	6.1265E-1	-5.5800E+2
7.6318E-2	6.1265E-1	-1.5500E+2
7.6671E-2	6.1265E-1	-6.7900E+2
7.7024E-2	6.1314E-1	1.0000E+2
7.7494E-2	6.1362E-1	-5.9000E+1
7.7847E-2	6.1241E-1	-3.4300E+2
7.8200E-2	6.1362E-1	-2.0700E+2
7.8553E-2	6.1290E-1	-5.5800E+2
7.8906E-2	6.1217E-1	-5.7100E+2
7.9259E-2	6.1460E-1	-3.1200E+2
7.9612E-2	6.1362E-1	1.6200E+2
7.9965E-2	6.1217E-1	-3.4900E+2
8.0318E-2	6.1435E-1	-3.0500E+2
8.0671E-2	6.1265E-1	-4.6000E+2
8.1024E-2	6.1435E-1	-1.6000E+2
8.1495E-2	6.1120E-1	-4.0000E+0
8.1848E-2	6.1192E-1	2.6000E+1
8.2201E-2	6.1290E-1	-1.4800E+2
8.2554E-2	6.1265E-1	-2.9100E+2
8.2907E-2	6.1071E-1	-1.9000E+2
8.3377E-2	6.1217E-1	-1.9400E+2
8.3730E-2	6.1362E-1	-5.4900E+2
8.4083E-2	6.1241E-1	-1.4900E+2
8.4436E-2	6.1168E-1	2.4000E+1
8.4789E-2	6.1314E-1	-1.5700E+2
8.5142E-2	6.1314E-1	-2.3000E+1
8.5495E-2	6.1338E-1	-4.0600E+2
8.5848E-2	6.1217E-1	-4.0500E+2
8.6201E-2	6.1144E-1	-3.1900E+2
8.6554E-2	6.1387E-1	-2.5700E+2
8.6907E-2	6.1484E-1	-6.9900E+2
8.7377E-2	6.1217E-1	1.5000E+2
8.7730E-2	6.1217E-1	-3.7000E+1
8.8083E-2	6.1435E-1	-7.3600E+2
8.8436E-2	6.1387E-1	-4.7100E+2
8.8789E-2	6.1047E-1	-1.4900E+2
8.9142E-2	6.1387E-1	-5.4900E+2
8.9613E-2	6.1168E-1	-4.0400E+2
8.9966E-2	6.1314E-1	6.6000E+2
9.0319E-2	6.1314E-1	-5.1600E+2
9.0672E-2	6.1338E-1	-5.3400E+2
9.1025E-2	6.1265E-1	-1.2200E+2
9.1378E-2	6.1168E-1	-2.2800E+2
9.1731E-2	6.1192E-1	-4.0900E+2
9.2084E-2	6.1192E-1	-3.9300E+2
9.2437E-2	6.1265E-1	-3.5700E+2
9.2790E-2	6.1120E-1	-4.8400E+2
9.3143E-2	6.1095E-1	-3.4500E+2
9.3613E-2	6.1168E-1	-3.5700E+2
9.3966E-2	6.1192E-1	-8.4000E+1
9.4319E-2	6.1120E-1	-3.7800E+2
9.4672E-2	6.1241E-1	-6.2000E+1
9.5025E-2	6.1168E-1	4.1000E+1
9.5378E-2	6.1362E-1	-1.7000E+1
9.5849E-2	6.1120E-1	-4.5000E+2
9.6202E-2	6.1290E-1	-5.5900E+2
